Date,Timestamp,Open,High,Low,Close,Volume
20031228,00:00:00,1.24242,1.2434,1.24214,1.24294,57698.5000777841
20031229,00:00:00,1.24258,1.25058,1.24212,1.24793,1332635.00208892
20031230,00:00:00,1.24805,1.25603,1.24742,1.2545,1347303.10162555
20031231,00:00:00,1.25429,1.26455,1.25119,1.2594,1269560.00197923
20040101,00:00:00,1.25934,1.26035,1.24679,1.25723,559789.600882441
20040102,00:00:00,1.25701,1.26263,1.25198,1.25806,1277971.40197821
20040104,00:00:00,1.25816,1.26477,1.25785,1.26308,61895.6000141501
20040105,00:00:00,1.26308,1.26924,1.26288,1.2682,1353480.50197352
20040106,00:00:00,1.2682,1.28083,1.2665,1.2714,1354807.40191466
20040107,00:00:00,1.27145,1.27404,1.26168,1.26367,1345833.00148855
20040108,00:00:00,1.26353,1.27839,1.25576,1.27686,1348587.50213875
20040109,00:00:00,1.27682,1.28665,1.27021,1.28123,1274567.90183274
20040111,00:00:00,1.28522,1.28559,1.28358,1.28467,59504.9999587536
20040112,00:00:00,1.28482,1.28956,1.27306,1.2738,1341146.60239708
20040113,00:00:00,1.27352,1.27947,1.27114,1.27826,1347248.20206609
20040114,00:00:00,1.27834,1.2785,1.26276,1.26504,1338836.30213991
20040115,00:00:00,1.26501,1.26693,1.25562,1.25937,1359077.60242994
20040116,00:00:00,1.25947,1.26071,1.23494,1.23936,1277853.70217074
20040118,00:00:00,1.2366,1.24002,1.23637,1.23822,65886.4000407755
20040119,00:00:00,1.23817,1.24226,1.23323,1.23493,1338577.20177118
20040120,00:00:00,1.2349,1.25977,1.23411,1.25812,1348920.70185363
20040121,00:00:00,1.25792,1.26695,1.25488,1.26529,1352647.60192908
20040122,00:00:00,1.26541,1.27475,1.26349,1.27184,1350262.70165391
20040123,00:00:00,1.27195,1.27732,1.25621,1.25781,1287883.40212476
20040125,00:00:00,1.25726,1.25857,1.25606,1.2567,58858.3999738991
20040126,00:00:00,1.25661,1.26095,1.24542,1.24824,1361808.40171525
20040127,00:00:00,1.24834,1.26608,1.24391,1.26318,1316358.20181851
20040128,00:00:00,1.26337,1.26415,1.24113,1.24345,1344328.50224355
20040129,00:00:00,1.24349,1.25252,1.23607,1.2405,1334867.80220227
20040130,00:00:00,1.24037,1.24897,1.23491,1.24731,1294345.10185039
